unix_time,players,rounds,score,time_s
1698154438.517,3,2,1354,40.09999990463257
1698154466.227,3,1,517,24.683000087738037
1698154496.584,3,1,553,26.0770001411438
1698154535.234,3,2,1211,34.443000078201294
1698154588.12,3,3,2067,50.68399977684021
1698154616.505,3,1,94,7.664000034332275
1698154732.15,3,1,189,12.130000114440918
1698154780.437,3,3,1922,44.871999979019165
1698154824.777,3,4,2277,40.87399983406067
1698154897.707,3,6,3713,62.5550000667572
1698154950.269,3,2,1436,43.31500005722046
1698155007.004,3,3,2185,55.20599985122681
1698155045.728,3,2,1190,33.41799998283386
1698155065.895,3,1,239,13.527999877929688
1698155195.082,2,4,2293,41.73900008201599
1698155236.584,2,4,2135,35.378000020980835
1698155250.688,2,1,245,13.546000003814697
1698155291.041,2,2,1251,35.996999979019165
1698155323.588,2,3,1525,29.0310001373291
1698155391.356,2,1,588,27.405999898910522
1698155446.616,2,4,2430,47.16700005531311
1698155487.909,2,4,2154,35.92899990081787
1698155707.544,2,1,175,10.950999975204468
1698155739.816,2,2,1074,28.960999965667725
1698155770.384,2,2,1068,28.75600004196167
1698155803.957,2,3,1562,30.41700005531311
1698155838.973,2,3,1586,31.449000120162964
1698155863.667,2,2,845,19.574000120162964
1698155896.743,2,2,972,24.936000108718872
1698155932.29,2,4,2088,33.55900001525879
1698155969.963,2,3,1639,33.456000089645386
1698156084.959,3,4,2384,45.34500002861023
1698156099.267,3,1,175,10.943000078201294
1698156125.531,3,2,923,22.662999868392944
1698156176.572,3,4,2384,45.335999965667725
1698156241.367,3,6,3650,59.93900012969971
1698156265.64,3,1,443,21.701000213623047
1698156274.386,3,1,40,5.550999879837036
1698156334.291,3,6,3574,56.985000133514404
1698156369.914,3,1,167,10.483000040054321
1698156412.677,2,1,458,23.427000045776367
1698156448.564,2,1,695,34.00999999046326
1698156478.422,2,2,1068,28.615999937057495
1698156495.53,2,1,246,13.609999895095825
1698156524.042,2,1,574,26.77300000190735
1698156567.876,2,4,2288,41.72699999809265
1698156581.562,2,1,159,10.30400013923645
